Polydim,NTTCost-1,BaseConvCost-1,ModmulCost-1,OthersCost-1
256,0.033203125,0.00390625,0.140625,1.0
512,0.025445927999999896,0.001953125,0.140625,1.0
1024,0.020312499999999956,0.0009765630000000414,0.140625,1.0
2048,0.016801743000000036,0.0004882809999999793,0.140625,1.0
4096,0.014322917000000102,0.00024414100000003103,0.140625,1.0
8192,0.012517083999999956,0.00012206999999997414,0.140625,1.0
16384,0.011160714000000072,6.1035000000098094e-05,0.140625,1.0
32768,0.01011157000000007,3.0517999999979395e-05,0.140625,1.0
65536,0.00927734400000002,1.5258999999989697e-05,0.140625,1.0
