q=68719476767 (bits=37), N=8192
s,model,trials,miss_rate,det_intra_only,det_sum_only,det_both,undetected
Fold s=12 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000200 | Det(IntraOnly)=9998 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=2
Fold s=12 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=12 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.033800 | Det(IntraOnly)=9662 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=338
Fold s=12 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=13 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000100 | Det(IntraOnly)=9999 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=1
Fold s=13 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=13 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.032300 | Det(IntraOnly)=9677 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=323
Fold s=13 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=14 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000200 | Det(IntraOnly)=9998 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=2
Fold s=14 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=14 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.026900 | Det(IntraOnly)=9731 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=269
Fold s=14 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=15 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=15 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=15 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.023600 | Det(IntraOnly)=9764 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=236
Fold s=15 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=16 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=16 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=16 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.024100 | Det(IntraOnly)=9759 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=241
Fold s=16 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=17 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=17 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=17 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.021800 | Det(IntraOnly)=9782 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=218
Fold s=17 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=18 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=18 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=18 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.021000 | Det(IntraOnly)=9790 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=210
Fold s=18 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=19 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=19 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
