FOLD_WIDTH,USE_T,USE_SN,USE_FINAL,DetectionRate,TP,FP,TN,FN
2,1,0,0,0.1718,13087,11878,11952,63083
2,0,1,0,0.6391,48438,615,23595,27352
2,0,0,1,0.8217,62632,319,23454,13595
4,1,0,0,0.3004,22811,21011,3057,53121
4,0,1,0,0.9107,69278,643,23288,6791
4,0,0,1,0.8210,62422,313,23658,13607
6,1,0,0,0.3166,24053,21996,2020,51931
6,0,1,0,0.9395,71426,699,23277,4598
6,0,0,1,0.8230,62638,327,23567,13468
8,1,0,0,0.3229,24502,22576,1539,51383
8,0,1,0,0.9544,72491,603,23445,3461
8,0,0,1,0.8200,62710,285,23236,13769
10,1,0,0,0.3236,24525,22954,1262,51259
10,0,1,0,0.9638,73447,621,23175,2757
10,0,0,1,0.8238,62549,305,23771,13375
12,1,0,0,0.3260,24733,23164,966,51137
12,0,1,0,0.9701,73863,630,23231,2276
12,0,0,1,0.8206,62180,339,23889,13592
14,1,0,0,0.3338,25439,22909,886,50766
14,0,1,0,0.9731,73771,653,23536,2040
14,0,0,1,0.8209,62228,335,23857,13580
16,1,0,0,0.3318,25186,23326,771,50717
16,0,1,0,0.9769,74521,619,23097,1763
16,0,0,1,0.8223,62533,307,23642,13518
18,1,0,0,0.3351,25436,23401,703,50460
18,0,1,0,0.9798,74364,636,23466,1534
18,0,0,1,0.8221,61989,339,24255,13417
20,1,0,0,0.3322,25231,23523,524,50722
20,0,1,0,0.9825,74437,676,23564,1323
20,0,0,1,0.8228,62458,302,23792,13448
22,1,0,0,0.3327,25277,23468,560,50695
22,0,1,0,0.9827,74567,588,23531,1314
22,0,0,1,0.8203,62110,342,23938,13610
24,1,0,0,0.3335,25321,23599,467,50613
24,0,1,0,0.9854,75228,601,23060,1111
24,0,0,1,0.8209,62333,328,23739,13600
26,1,0,0,0.3341,25455,23385,432,50728
26,0,1,0,0.9855,74846,666,23389,1099
26,0,0,1,0.8213,62318,318,23802,13562
28,1,0,0,0.3366,25528,23706,459,50307
28,0,1,0,0.9867,74978,648,23365,1009
28,0,0,1,0.8205,62308,332,23733,13627
30,1,0,0,0.3384,25721,23602,381,50296
30,0,1,0,0.9875,75114,623,23313,950
30,0,0,1,0.8215,62844,322,23179,13655
32,1,0,0,0.3322,25163,23885,379,50573
32,0,1,0,0.9880,74920,669,23500,911
32,0,0,1,0.8200,62254,325,23755,13666
