FOLD_WIDTH, USE_M, USE_MP, USE_FINAL, DetectionRate, TP, FP, TN, FN
2, 1, 0, 0, 0.4086, 2564, 2460, 1265, 3711
2, 0, 1, 0, 1.0000, 6230, 1364, 2406, 0
2, 0, 0, 1, 0.5934, 3648, 1438, 2414, 2500
2, 1, 0, 1, 0.6057, 3717, 3863, 0, 2420
4, 1, 0, 0, 0.4107, 2560, 2474, 1292, 3674
4, 0, 1, 0, 1.0000, 6199, 1425, 2376, 0
4, 0, 0, 1, 0.6167, 3809, 1379, 2445, 2367
4, 1, 0, 1, 0.6034, 3788, 3722, 0, 2490
6, 1, 0, 0, 0.4078, 2544, 2435, 1326, 3695
6, 0, 1, 0, 1.0000, 6235, 1345, 2420, 0
6, 0, 0, 1, 0.6140, 3832, 1382, 2377, 2409
6, 1, 0, 1, 0.6007, 3778, 3711, 0, 2511
8, 1, 0, 0, 0.4094, 2518, 2501, 1348, 3633
8, 0, 1, 0, 1.0000, 6229, 1364, 2407, 0
8, 0, 0, 1, 0.6040, 3741, 1362, 2444, 2453
8, 1, 0, 1, 0.6069, 3753, 3816, 0, 2431
10, 1, 0, 0, 0.4094, 2520, 2525, 1319, 3636
10, 0, 1, 0, 1.0000, 6181, 1411, 2408, 0
10, 0, 0, 1, 0.6044, 3754, 1334, 2455, 2457
10, 1, 0, 1, 0.6050, 3739, 3820, 0, 2441
12, 1, 0, 0, 0.4117, 2555, 2446, 1348, 3651
12, 0, 1, 0, 1.0000, 6194, 1355, 2451, 0
12, 0, 0, 1, 0.6075, 3762, 1365, 2442, 2431
12, 1, 0, 1, 0.6022, 3685, 3881, 0, 2434
14, 1, 0, 0, 0.4014, 2460, 2560, 1311, 3669
14, 0, 1, 0, 1.0000, 6220, 1380, 2400, 0
14, 0, 0, 1, 0.6121, 3838, 1377, 2353, 2432
14, 1, 0, 1, 0.6236, 3889, 3764, 0, 2347
16, 1, 0, 0, 0.3995, 2464, 2565, 1267, 3704
16, 0, 1, 0, 1.0000, 6164, 1360, 2476, 0
16, 0, 0, 1, 0.6091, 3766, 1389, 2428, 2417
16, 1, 0, 1, 0.5989, 3626, 3946, 0, 2428
18, 1, 0, 0, 0.4027, 2489, 2493, 1326, 3692
18, 0, 1, 0, 1.0000, 6163, 1339, 2498, 0
18, 0, 0, 1, 0.6117, 3741, 1444, 2440, 2375
18, 1, 0, 1, 0.5976, 3727, 3763, 0, 2510
20, 1, 0, 0, 0.4082, 2553, 2428, 1317, 3702
20, 0, 1, 0, 1.0000, 6265, 1342, 2393, 0
20, 0, 0, 1, 0.6050, 3770, 1409, 2360, 2461
20, 1, 0, 1, 0.6062, 3746, 3821, 0, 2433
22, 1, 0, 0, 0.4038, 2465, 2576, 1320, 3639
22, 0, 1, 0, 1.0000, 6150, 1380, 2470, 0
22, 0, 0, 1, 0.6097, 3820, 1329, 2406, 2445
22, 1, 0, 1, 0.5965, 3685, 3822, 0, 2493
24, 1, 0, 0, 0.4088, 2543, 2440, 1340, 3677
24, 0, 1, 0, 1.0000, 6125, 1384, 2491, 0
24, 0, 0, 1, 0.6039, 3747, 1373, 2422, 2458
24, 1, 0, 1, 0.6058, 3770, 3777, 0, 2453
26, 1, 0, 0, 0.4055, 2533, 2412, 1341, 3714
26, 0, 1, 0, 1.0000, 6216, 1384, 2400, 0
26, 0, 0, 1, 0.6069, 3805, 1356, 2374, 2465
26, 1, 0, 1, 0.6155, 3834, 3771, 0, 2395
28, 1, 0, 0, 0.4006, 2490, 2483, 1301, 3726
28, 0, 1, 0, 1.0000, 6287, 1392, 2321, 0
28, 0, 0, 1, 0.6106, 3767, 1341, 2490, 2402
28, 1, 0, 1, 0.6104, 3791, 3789, 0, 2420
30, 1, 0, 0, 0.4010, 2534, 2416, 1265, 3785
30, 0, 1, 0, 1.0000, 6230, 1364, 2406, 0
30, 0, 0, 1, 0.6092, 3835, 1299, 2406, 2460
30, 1, 0, 1, 0.6101, 3815, 3747, 0, 2438
32, 1, 0, 0, 0.4026, 2519, 2432, 1311, 3738
32, 0, 1, 0, 1.0000, 6237, 1392, 2371, 0
32, 0, 0, 1, 0.6021, 3699, 1389, 2468, 2444
32, 1, 0, 1, 0.6109, 3783, 3807, 0, 2410
