FOLD_WIDTH,USE_T,USE_SN,USE_FINAL,DetectionRate,TP,FP,TN,FN
2,1,0,0,0.2357,15438,34514,0,50048
2,0,1,0,1.0000,65355,518,34127,0
2,0,0,1,0.6052,39595,227,34348,25830
4,1,0,0,0.2330,15236,34606,0,50158
4,0,1,0,1.0000,65362,501,34137,0
4,0,0,1,0.6035,39471,246,34350,25933
6,1,0,0,0.2340,15283,34684,0,50033
6,0,1,0,1.0000,65373,459,34168,0
6,0,0,1,0.6040,39442,218,34485,25855
8,1,0,0,0.2341,15240,34888,0,49872
8,0,1,0,1.0000,65452,425,34123,0
8,0,0,1,0.6046,39497,231,34446,25826
10,1,0,0,0.2337,15235,34798,0,49967
10,0,1,0,1.0000,65438,437,34125,0
10,0,0,1,0.6038,39670,253,34042,26035
12,1,0,0,0.2353,15296,34980,0,49724
12,0,1,0,1.0000,65332,459,34209,0
12,0,0,1,0.6028,39294,238,34578,25890
14,1,0,0,0.2341,15298,34656,0,50046
14,0,1,0,1.0000,65114,440,34446,0
14,0,0,1,0.6019,39282,236,34497,25985
16,1,0,0,0.2383,15576,34646,0,49778
16,0,1,0,1.0000,65610,473,33917,0
16,0,0,1,0.5978,39036,227,34478,26259
18,1,0,0,0.2391,15563,34921,0,49516
18,0,1,0,1.0000,65206,497,34297,0
18,0,0,1,0.6016,39390,225,34296,26089
20,1,0,0,0.2372,15457,34841,0,49702
20,0,1,0,1.0000,65204,496,34300,0
20,0,0,1,0.5996,39258,206,34322,26214
22,1,0,0,0.2346,15311,34739,0,49950
22,0,1,0,1.0000,65228,466,34306,0
22,0,0,1,0.6055,39640,211,34319,25830
24,1,0,0,0.2338,15271,34679,0,50050
24,0,1,0,1.0000,65590,469,33941,0
24,0,0,1,0.6002,39045,248,34702,26005
26,1,0,0,0.2344,15387,34346,0,50267
26,0,1,0,1.0000,65291,472,34237,0
26,0,0,1,0.6023,39352,253,34408,25987
28,1,0,0,0.2355,15449,34386,0,50165
28,0,1,0,1.0000,65551,453,33996,0
28,0,0,1,0.6028,39259,215,34655,25871
30,1,0,0,0.2357,15344,34889,0,49767
30,0,1,0,1.0000,65155,411,34434,0
30,0,0,1,0.6007,39215,212,34509,26064
32,1,0,0,0.2337,15196,34979,0,49825
32,0,1,0,1.0000,65568,468,33964,0
32,0,0,1,0.6090,39620,255,34685,25440

