FOLD_WIDTH, USE_M, USE_MP, USE_FINAL, DetectionRate, TP, FP, TN, FN
2, 1, 0, 0, 0.2207, 1878, 609, 882, 6631
2, 0, 1, 0, 0.6432, 5417, 231, 1347, 3005
2, 0, 0, 1, 0.8609, 7285, 388, 1150, 1177
2, 1, 0, 1, 0.8616, 7304, 919, 604, 1173
4, 1, 0, 0, 0.3852, 3280, 1017, 467, 5236
4, 0, 1, 0, 0.9072, 7665, 393, 1158, 784
4, 0, 0, 1, 0.8594, 7243, 381, 1191, 1185
4, 1, 0, 1, 0.8564, 7271, 1341, 169, 1219
6, 1, 0, 0, 0.4074, 3441, 1149, 405, 5005
6, 0, 1, 0, 0.9359, 7902, 393, 1164, 541
6, 0, 0, 1, 0.8538, 7200, 378, 1189, 1233
6, 1, 0, 1, 0.8677, 7359, 1416, 103, 1122
8, 1, 0, 0, 0.4171, 3500, 1174, 435, 4891
8, 0, 1, 0, 0.9510, 8080, 393, 1111, 416
8, 0, 0, 1, 0.8599, 7306, 371, 1133, 1190
8, 1, 0, 1, 0.8599, 7241, 1491, 88, 1180
10, 1, 0, 0, 0.4239, 3572, 1175, 398, 4855
10, 0, 1, 0, 0.9630, 8060, 403, 1227, 310
10, 0, 0, 1, 0.8564, 7199, 431, 1163, 1207
10, 1, 0, 1, 0.8618, 7283, 1488, 61, 1168
12, 1, 0, 0, 0.4259, 3577, 1214, 388, 4821
12, 0, 1, 0, 0.9646, 8129, 387, 1186, 298
12, 0, 0, 1, 0.8642, 7313, 405, 1133, 1149
12, 1, 0, 1, 0.8554, 7254, 1478, 42, 1226
14, 1, 0, 0, 0.4333, 3687, 1118, 373, 4822
14, 0, 1, 0, 0.9717, 8229, 418, 1113, 240
14, 0, 0, 1, 0.8533, 7252, 385, 1116, 1247
14, 1, 0, 1, 0.8607, 7270, 1501, 52, 1177
16, 1, 0, 0, 0.4304, 3645, 1188, 344, 4823
16, 0, 1, 0, 0.9783, 8310, 386, 1120, 184
16, 0, 0, 1, 0.8565, 7233, 394, 1161, 1212
16, 1, 0, 1, 0.8605, 7328, 1444, 40, 1188
18, 1, 0, 0, 0.4389, 3705, 1164, 394, 4737
18, 0, 1, 0, 0.9813, 8313, 386, 1143, 158
18, 0, 0, 1, 0.8601, 7291, 393, 1130, 1186
18, 1, 0, 1, 0.8561, 7221, 1522, 43, 1214
20, 1, 0, 0, 0.4345, 3655, 1211, 378, 4756
20, 0, 1, 0, 0.9801, 8317, 375, 1139, 169
20, 0, 0, 1, 0.8545, 7231, 389, 1149, 1231
20, 1, 0, 1, 0.8632, 7295, 1515, 34, 1156
22, 1, 0, 0, 0.4310, 3639, 1205, 352, 4804
22, 0, 1, 0, 0.9836, 8343, 422, 1096, 139
22, 0, 0, 1, 0.8523, 7232, 398, 1117, 1253
22, 1, 0, 1, 0.8590, 7262, 1519, 27, 1192
24, 1, 0, 0, 0.4284, 3631, 1158, 366, 4845
24, 0, 1, 0, 0.9849, 8386, 385, 1100, 129
24, 0, 0, 1, 0.8577, 7299, 385, 1105, 1211
24, 1, 0, 1, 0.8543, 7207, 1539, 25, 1229
26, 1, 0, 0, 0.4275, 3606, 1163, 402, 4829
26, 0, 1, 0, 0.9825, 8320, 401, 1131, 148
26, 0, 0, 1, 0.8657, 7317, 399, 1149, 1135
26, 1, 0, 1, 0.8589, 7274, 1507, 24, 1195
28, 1, 0, 0, 0.4385, 3710, 1159, 381, 4750
28, 0, 1, 0, 0.9861, 8321, 407, 1155, 117
28, 0, 0, 1, 0.8538, 7155, 424, 1196, 1225
28, 1, 0, 1, 0.8550, 7214, 1534, 29, 1223
30, 1, 0, 0, 0.4421, 3749, 1137, 383, 4731
30, 0, 1, 0, 0.9870, 8399, 406, 1084, 111
30, 0, 0, 1, 0.8596, 7256, 382, 1177, 1185
30, 1, 0, 1, 0.8542, 7221, 1529, 17, 1233
32, 1, 0, 0, 0.4570, 3859, 1181, 374, 4586
32, 0, 1, 0, 0.9859, 8237, 438, 1207, 118
32, 0, 0, 1, 0.8583, 7278, 381, 1139, 1202
32, 1, 0, 1, 0.8565, 7309, 1449, 17, 1225
